TREATMENTLINK,,,,/TREATMENTLINK
BOOK.NAME,TREATMENT.NAME,ACCOUNTING_INSTRUCTION.NAME,ID,
Treasury_DL,Bond Amortised Cost,Bond_TD_Daily Interest Accrual_FCY (NI),Treasury_DL|Bond Amortised Cost|Bond_TD_Daily Interest Accrual_FCY (NI),
Treasury_DL,Bond Amortised Cost,Bond_TD_Daily Premium/Discount Amortization_FCY (NI),Treasury_DL|Bond Amortised Cost|Bond_TD_Daily Premium/Discount Amortization_FCY (NI),
Treasury_DL,Bond Amortised Cost,Bond_TD_Daily Premium/Discount Amortization_FCY_ACCY,Treasury_DL|Bond Amortised Cost|Bond_TD_Daily Premium/Discount Amortization_FCY_ACCY,
Treasury_DL,Bond Amortised Cost,Bond_MF_Daily Interest Accrual PL_FCY (NI),Treasury_DL|Bond Amortised Cost|Bond_MF_Daily Interest Accrual PL_FCY (NI),
Treasury_DL,Bond Amortised Cost,Bond_MF_Daily Interest Accrual PL_FCY_ACCY,Treasury_DL|Bond Amortised Cost|Bond_MF_Daily Interest Accrual PL_FCY_ACCY,
Treasury_DL,Bond FVTPL,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,Treasury_DL|Bond FVTPL|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,
Treasury_DL,Bond FVTPL,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),Treasury_DL|Bond FVTPL|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),
Treasury_DL,Bond FVOCI,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),Treasury_DL|Bond FVOCI|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),
Treasury_DL,Bond FVOCI,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,Treasury_DL|Bond FVOCI|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,
Treasury_DL,Bond Amortised Cost,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),Treasury_DL|Bond Amortised Cost|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),
Treasury_DL,Bond Amortised Cost,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,Treasury_DL|Bond Amortised Cost|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,
Treasury_DL,Bond Amortised Cost,Bond_MF_Daily Interest Accrual PL,Treasury_DL|Bond Amortised Cost|Bond_MF_Daily Interest Accrual PL,
