TACCOUNTALLOCLINK,,,,,,/TACCOUNTALLOCLINK
COA.ID,CHART_OF_ACCOUNT.T_ACCOUNT.NUMBER,JVD.ID,CHART_OF_ACCOUNT.BOOK.NAME,ID,TREATMENT.NAME,
Treasury|19511633,19511633,Fund_MF_Pay Date Aggregated Dividends|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|Fund_MF_Pay Date Aggregated Dividends|Cash Analysis Projected|Debit|Bond Amortised Cost,Bond Amortised Cost,
Treasury|19511633,19511633,DepoLoan Discounted_MF_Maturity Pay Date|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|DepoLoan Discounted_MF_Maturity Pay Date|Cash Analysis Projected|Debit|Placement(Discounted),Placement(Discounted),
Treasury|19511633,19511633,Tax Actual Pay Date (EOD)|Amount|Debit,Treasury,Treasury|19511633|Tax Actual Pay Date (EOD)|Amount|Debit|Settlement,Settlement,
Treasury|19511633,19511633,Fund_MF_Pay Date Aggregated Dividends|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|Fund_MF_Pay Date Aggregated Dividends|Cash Analysis Projected|Debit|Bond FVOCI,Bond FVOCI,
Treasury|19511633,19511633,Bond Option_MF_Premium Pay Date|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|Bond Option_MF_Premium Pay Date|Cash Analysis Projected|Debit|Bond Option,Bond Option,
Treasury|19511633,19511633,PSAK_MF_Pay Date Attributable Fee|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|PSAK_MF_Pay Date Attributable Fee|Cash Analysis Projected|Debit|Repo,Repo,
Treasury|19511633,19511633,Repo_MF_Pay Date Collateral Coupon Transfer|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|Repo_MF_Pay Date Collateral Coupon Transfer|Cash Analysis Projected|Debit|Repo Coupon Transfer,Repo Coupon Transfer,
Treasury|19511633,19511633,BN_TD_Value Date Nominal|Nominal Amount Accounting|Debit,Treasury,Treasury|19511633|BN_TD_Value Date Nominal|Nominal Amount Accounting|Debit|Bank Notes Commodity Fwd,Bank Notes Commodity Fwd,
Treasury|19511633,19511633,BN_MF_Value Date Premium|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|BN_MF_Value Date Premium|Cash Analysis Projected|Debit|Bank Notes Commodity Fwd,Bank Notes Commodity Fwd,
Treasury|19511633,19511633,BN_TD_Value Date Nominal|Nominal Amount Accounting|Debit,Treasury,Treasury|19511633|BN_TD_Value Date Nominal|Nominal Amount Accounting|Debit|Bank Notes Commodity Spot,Bank Notes Commodity Spot,
