CHOICELIST,,,,/CHOICELIST
LIST,SORT_ORDER,ENTRY,DESCRIPTION,
MASTER,,Location,Customer Address Location in eMAS,
Location,475,"Kod. Bitung, Sulawesi Utara",6293,
Location,476,Kota Tomohon,6294,
Location,477,Kab. KEPULAUAN SIAU,6295,
Location,478,Kab. KEPULAUAN SANGIHE,6296,
Location,479,Provinsi Gorontalo,6300,
Location,480,Kab.Gorontalo,6301,
Location,481,Kab.Boalemo,6302,
Location,482,Kab.Bonebolango,6303,
Location,483,Kab.Pohuwato,6304,
Location,484,Kabupaten Gorontalo Utara,6305,
Location,485,Kab. BOALEMO,6306,
Location,486,Kab. BONE BOLANGO,6307,
Location,487,Kab. PAHUWATO,6308,
Location,488,"Prov.Gorontalo,Kab/Kota Lainnya",6388,
Location,489,Kota Gorontalo,6391,
Location,490,Provinsi Sulawesi Barat,6400,
Location,491,Kab. Polewali Mandar,6401,
Location,492,Kab. Majene,6402,
Location,493,Kab. Mamasa,6403,
Location,494,Kab. Mamuju Utara,6404,
Location,495,Kab. MAMUJU TENGAH,6405,
Location,496,Kab. POLEWALI MAMASA,6406,
Location,497,Kota Mamuju,6491,
Location,498,Provinsi Sulawesi Tenggara,6900,
Location,499,"Kab. Buton, Sulawesi Tenggara",6901,
Location,500,"Kab. Kendari, Sulawesi Tenggara",6902,
Location,501,"Kab. Muna, Sulawesi Tenggara",6903,
Location,502,"Kab. Kolaka, Sulawesi Tenggara",6904,
Location,503,Kab. Wakatobi,6905,
Location,504,Kab. Konawe,6906,
Location,505,Kab. Konawe Selatan,6907,
Location,506,Kab. Bombana,6908,
Location,507,Kab. Kolaka Utara,6909,
Location,508,Kabupaten Buton Utara,6910,
Location,509,Kabupaten Konawe Utara,6911,
Location,510,Kab. BAU BAU,6912,
Location,511,Kab. BUTON SELATAN,6913,
Location,512,Kab. BUTON TENGAH,6914,
Location,513,Kab. KONAWE KEPULAUAN,6915,
Location,514,Kab. KOLAKA TIMUR,6916,
