TACCOUNTALLOCLINK,,,,,,/TACCOUNTALLOCLINK
COA.ID,CHART_OF_ACCOUNT.T_ACCOUNT.NUMBER,JVD.ID,CHART_OF_ACCOUNT.BOOK.NAME,ID,TREATMENT.NAME,
Treasury_CI|14512201,14512201,FX_TD_Daily Mark-to-Market|Portfolio Unrealized Profit and Loss Acc Curr|Debit,Treasury_CI,Treasury_CI|14512201|FX_TD_Daily Mark-to-Market|Portfolio Unrealized Profit and Loss Acc Curr|Debit|FX Forward,FX Forward,
Treasury_CI|23012201,23012201,FX_TD_Daily Mark-to-Market|Portfolio Unrealized Profit and Loss Acc Curr|Debit,Treasury_CI,Treasury_CI|23012201|FX_TD_Daily Mark-to-Market|Portfolio Unrealized Profit and Loss Acc Curr|Debit|FX Forward,FX Forward,
Treasury_CI|44511101,44511101,FX_TD_Daily Mark-to-Market|Portfolio Unrealized Profit and Loss Acc Curr|Credit,Treasury_CI,Treasury_CI|44511101|FX_TD_Daily Mark-to-Market|Portfolio Unrealized Profit and Loss Acc Curr|Credit|FX Forward,FX Forward,
Treasury_CI|61512601,61512601,FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Debit,Treasury_CI,Treasury_CI|61512601|FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Debit|FX Swap,FX Swap,
Treasury_CI|71512601,71512601,FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Debit,Treasury_CI,Treasury_CI|71512601|FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Debit|FX Swap,FX Swap,
Treasury_CI|81512601,81512601,FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Credit,Treasury_CI,Treasury_CI|81512601|FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Credit|FX Swap,FX Swap,
Treasury_CI|91512601,91512601,FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Credit,Treasury_CI,Treasury_CI|91512601|FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Credit|FX Swap,FX Swap,
Treasury_CI|81512601,81512601,FX_MF_Value Date OffBalance Principal|Cash Analysis Projected|Debit,Treasury_CI,Treasury_CI|81512601|FX_MF_Value Date OffBalance Principal|Cash Analysis Projected|Debit|FX Swap,FX Swap,
Treasury_CI|91512601,91512601,FX_MF_Value Date OffBalance Principal|Cash Analysis Projected|Debit,Treasury_CI,Treasury_CI|91512601|FX_MF_Value Date OffBalance Principal|Cash Analysis Projected|Debit|FX Swap,FX Swap,
Treasury_CI|61512601,61512601,FX_MF_Value Date OffBalance Principal|Cash Analysis Projected|Credit,Treasury_CI,Treasury_CI|61512601|FX_MF_Value Date OffBalance Principal|Cash Analysis Projected|Credit|FX Swap,FX Swap,
Treasury_CI|71512601,71512601,FX_MF_Value Date OffBalance Principal|Cash Analysis Projected|Credit,Treasury_CI,Treasury_CI|71512601|FX_MF_Value Date OffBalance Principal|Cash Analysis Projected|Credit|FX Swap,FX Swap,
