TACCOUNT,,,,,,,,/TACCOUNT
DESCRIPTION,CATEGORY_CHLNBR.LIST,ACTIVE,NUMBER,NAME,REPORTING_CLASS,CATEGORY_CHLNBR.ENTRY,TYPE,
PENDAPATAN OPERASIONAL LAINNYA (POL) EFEK-EFEK PRODUK TREASURY,TAccount Category,Yes,45023301,POL EFEK2 PRODUK TREASURY,TAccount,Revenue Sheet,Revenue,
PENDAPATAN OPERASIONAL LAINNYA (POL) EFEK-EFEK REKSADANA,TAccount Category,Yes,45033201,POL EFEK-EFEK TSD U/ DIJUAL REKSADANA,TAccount,Revenue Sheet,Revenue,
PENDAPATAN OPERASIONAL LAINNYA (POL) LABA PENJUALAN SURAT BERHARGA,TAccount Category,Yes,46011101,POL LABA PENJUALAN SURAT BERHARGA,TAccount,Revenue Sheet,Revenue,
PENDAPATAN OPERASIONAL LAINNYA (POL) LABA PENJUALAN SURAT BERHARGA - AVAILABLE FOR SALE (AFS),TAccount Category,Yes,46011102,POL LABA PENJUALAN SURAT BERHARGA-AFS,TAccount,Revenue Sheet,Revenue,
PENDAPATAN OPERASIONAL LAINNYA (POL) LAINNYA - EARLY TERMINATION,TAccount Category,Yes,48511170,POL LAINNYA - EARLY TERMINATION,TAccount,Revenue Sheet,Revenue,
PENDAPATAN OPERASIONAL LAINNYA (POL) LAIN-LAIN,TAccount Category,Yes,48511199,POL LAIN-LAIN,TAccount,Revenue Sheet,Revenue,
PENDAPATAN NON OPERASIONAL (PNO)   PENDAPATAN BUNGA -PENEMPATAN KANTOR SENDIRI (KS),TAccount Category,Yes,49011406,PNO PEND BNG-PENEMPATAN KS,TAccount,Revenue Sheet,Revenue,
BEBAN BUNGA SERTIFIKAT DEPOSITO,TAccount Category,Yes,51011701,BEBAN BUNGA SERTIFIKAT DEPOSITO,TAccount,Revenue Sheet,Expense,
BEBAN BUNGA CALL MONEY,TAccount Category,Yes,51021101,BEBAN BUNGA CALL MONEY,TAccount,Revenue Sheet,Expense,
BEBAN BUNGA LIABILITAS EFEK-EFEK REPO SURAT BERHARGA PASAR MODAL (SBPM) - OBLIGASI,TAccount Category,Yes,51031801,BEBAN BUNGA LIA EFEK2 REPO SBPM OBLIGASI,TAccount,Revenue Sheet,Expense,
BEBAN BUNGA SURAT BERHARGA PASAR MODAL (SBPM) - OBLIGASI,TAccount Category,Yes,51042101,BEBAN BUNGA SBPM,TAccount,Revenue Sheet,Expense,
BEBAN BUNGA PINJAMAN DITERIMA LAINNYA,TAccount Category,Yes,51051102,BEBAN BUNGA PINJAMAN DITERIMA LAINNYA,TAccount,Revenue Sheet,Expense,
BEBAN BUNGA PINJAMAN DITERIMA LAINNYA - LAINNYA,TAccount Category,Yes,51051901,BEBAN BUNGA PINJAMAN DITERIMA LAINNYA,TAccount,Revenue Sheet,Expense,
BEBAN BUNGA PINJAMAN DITERIMA - REPO TO MATURITY,TAccount Category,Yes,51051904,BEBAN BUNGA PINJ DTRM REPO TO MATURITY,TAccount,Revenue Sheet,Expense,
