VOLATILITY,,,,,,,,,,,,,,,,,,,,VOLPOINT,,,/VOLPOINT,/VOLATILITY
BOND_VOL_TYPE,CALIBRATION_BOUND_FUNCTION,CALIBRATION_FILTER_FUNCTION,CURR.INSID,DATA,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,KAPPA,RISK_TYPE,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,DISPLACED_BLACK_SCHOLES_SHIFT,INSADDR.INSID,VOLATILITY,,
,,,,,,,,,,,,,,,,,,,,0.016,EUR/R/IRS/EU6M/DISP-BVOL/3M/5Y/ATM,0.227,,
,,,,,,,,,,,,,,,,,,,,0.0158,EUR/R/IRS/EU6M/DISP-BVOL/3M/6Y/ATM,0.241,,
,,,,,,,,,,,,,,,,,,,,0.0156,EUR/R/IRS/EU6M/DISP-BVOL/3M/7Y/ATM,0.255,,
,,,,,,,,,,,,,,,,,,,,0.0154,EUR/R/IRS/EU6M/DISP-BVOL/3M/8Y/ATM,0.261,,
,,,,,,,,,,,,,,,,,,,,0.0152,EUR/R/IRS/EU6M/DISP-BVOL/3M/9Y/ATM,0.267,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/3Y/10Y/ATM,0.279,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/3Y/15Y/ATM,0.265,,
,,,,,,,,,,,,,,,,,,,,0.03,EUR/R/IRS/EU3M/DISP-BVOL/3Y/1Y/ATM,0.168,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/3Y/20Y/ATM,0.264,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/3Y/25Y/ATM,0.268,,
,,,,,,,,,,,,,,,,,,,,0.0265,EUR/R/IRS/EU6M/DISP-BVOL/3Y/2Y/ATM,0.181,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/3Y/30Y/ATM,0.272,,
,,,,,,,,,,,,,,,,,,,,0.023,EUR/R/IRS/EU6M/DISP-BVOL/3Y/3Y/ATM,0.208,,
,,,,,,,,,,,,,,,,,,,,0.0195,EUR/R/IRS/EU6M/DISP-BVOL/3Y/4Y/ATM,0.238,,
,,,,,,,,,,,,,,,,,,,,0.016,EUR/R/IRS/EU6M/DISP-BVOL/3Y/5Y/ATM,0.275,,
,,,,,,,,,,,,,,,,,,,,0.0158,EUR/R/IRS/EU6M/DISP-BVOL/3Y/6Y/ATM,0.273,,
,,,,,,,,,,,,,,,,,,,,0.0156,EUR/R/IRS/EU6M/DISP-BVOL/3Y/7Y/ATM,0.275,,
,,,,,,,,,,,,,,,,,,,,0.0154,EUR/R/IRS/EU6M/DISP-BVOL/3Y/8Y/ATM,0.275,,
,,,,,,,,,,,,,,,,,,,,0.0152,EUR/R/IRS/EU6M/DISP-BVOL/3Y/9Y/ATM,0.276,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/4Y/10Y/ATM,0.27,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/4Y/15Y/ATM,0.256,,
,,,,,,,,,,,,,,,,,,,,0.03,EUR/R/IRS/EU3M/DISP-BVOL/4Y/1Y/ATM,0.188,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/4Y/20Y/ATM,0.255,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/4Y/25Y/ATM,0.258,,
,,,,,,,,,,,,,,,,,,,,0.0265,EUR/R/IRS/EU6M/DISP-BVOL/4Y/2Y/ATM,0.193,,
