TREATMENTLINK,,,,/TREATMENTLINK
BOOK.NAME,TREATMENT.NAME,ACCOUNTING_INSTRUCTION.NAME,ID,
Treasury_SH_ACU,Bond FVTPL,PSAK_MF_Pay Date Non-Attributable Fee (Linear),Treasury_SH_ACU|Bond FVTPL|PSAK_MF_Pay Date Non-Attributable Fee (Linear),
Treasury_SH_ACU,Bond FVTPL,PSAK_TD_Daily Non-Attributable Fee Amortization,Treasury_SH_ACU|Bond FVTPL|PSAK_TD_Daily Non-Attributable Fee Amortization,
Treasury_SH_ACU,Bond FVTPL,PSAK_TD_Daily Non-Attributable Fee Amortization_FCY (NI),Treasury_SH_ACU|Bond FVTPL|PSAK_TD_Daily Non-Attributable Fee Amortization_FCY (NI),
Treasury_SH_ACU,Bond FVTPL,PSAK_TD_Daily Non-Attributable Fee Amortization_FCY_ACCY,Treasury_SH_ACU|Bond FVTPL|PSAK_TD_Daily Non-Attributable Fee Amortization_FCY_ACCY,
Treasury_SH_ACU,Bond FVTPL,PSAK_MF_Pay Date WIthholding Tax,Treasury_SH_ACU|Bond FVTPL|PSAK_MF_Pay Date WIthholding Tax,
Treasury_SH_ACU,Bond FVTPL,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI),Treasury_SH_ACU|Bond FVTPL|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI),
Treasury_SH_ACU,Borrowing,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI),Treasury_SH_ACU|Borrowing|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI),
Treasury_SH_ACU,Bond FVOCI,Bond OCI/AC_TD_Trade Date Buy,Treasury_SH_ACU|Bond FVOCI|Bond OCI/AC_TD_Trade Date Buy,
Treasury_SH_ACU,Bond FVOCI,Bond_MF_Value Date Settlement,Treasury_SH_ACU|Bond FVOCI|Bond_MF_Value Date Settlement,
Treasury_SH_ACU,Bond FVOCI,PSAK_MF_Pay Date Non-Attributable Fee (Linear),Treasury_SH_ACU|Bond FVOCI|PSAK_MF_Pay Date Non-Attributable Fee (Linear),
Treasury_SH_ACU,Bond FVOCI,PSAK_MF_Pay Date Non-Attributable Fee (As Fee),Treasury_SH_ACU|Bond FVOCI|PSAK_MF_Pay Date Non-Attributable Fee (As Fee),
Treasury_SH_ACU,Bond FVOCI,PSAK_MF_Pay Date WIthholding Tax,Treasury_SH_ACU|Bond FVOCI|PSAK_MF_Pay Date WIthholding Tax,
Treasury_SH_ACU,Bond FVOCI,Bond_MF_Daily Interest Accrual PL_FCY (NI),Treasury_SH_ACU|Bond FVOCI|Bond_MF_Daily Interest Accrual PL_FCY (NI),
Treasury_SH_ACU,Bond FVOCI,Bond_MF_Daily Interest Accrual PL_FCY_ACCY,Treasury_SH_ACU|Bond FVOCI|Bond_MF_Daily Interest Accrual PL_FCY_ACCY,
Treasury_SH_ACU,Bond FVOCI,Bond_TD_Daily Interest Accrual_FCY_ACCY,Treasury_SH_ACU|Bond FVOCI|Bond_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_SH_ACU,Bond FVOCI,Bond_TD_Daily Interest Accrual_FCY (NI),Treasury_SH_ACU|Bond FVOCI|Bond_TD_Daily Interest Accrual_FCY (NI),
Treasury_SH_ACU,Bond FVOCI,Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY (NI),Treasury_SH_ACU|Bond FVOCI|Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY (NI),
Treasury_SH_ACU,Bond FVOCI,Bond_TD_Daily Premium/Discount Amortization_FCY_ACCY,Treasury_SH_ACU|Bond FVOCI|Bond_TD_Daily Premium/Discount Amortization_FCY_ACCY,
Treasury_SH_ACU,Bond FVOCI,Bond_TD_Daily Premium/Discount Amortization_FCY (NI),Treasury_SH_ACU|Bond FVOCI|Bond_TD_Daily Premium/Discount Amortization_FCY (NI),
Treasury_SH_ACU,Bond FVOCI,Bond_TD_Trade Date Sell RPL_FCY (NI),Treasury_SH_ACU|Bond FVOCI|Bond_TD_Trade Date Sell RPL_FCY (NI),
Treasury_SH_ACU,Bond FVOCI,Bond_TD_Trade Date Sell RPL_FCY_ACCY,Treasury_SH_ACU|Bond FVOCI|Bond_TD_Trade Date Sell RPL_FCY_ACCY,
Treasury_SH_ACU,Bond FVOCI,PSAK_MF_Pay Date Attributable Fee,Treasury_SH_ACU|Bond FVOCI|PSAK_MF_Pay Date Attributable Fee,
Treasury_SH_ACU,Bond FVTPL,Bond_MF_Daily Interest Accrual PL,Treasury_SH_ACU|Bond FVTPL|Bond_MF_Daily Interest Accrual PL,
Treasury_SH_ACU,Bond FVTPL,Bond_TD_Premium/Discount FVTPL Maturity Date,Treasury_SH_ACU|Bond FVTPL|Bond_TD_Premium/Discount FVTPL Maturity Date,
Treasury_SH_ACU,Placement,DepoLoan_MF_Trade Date Principal,Treasury_SH_ACU|Placement|DepoLoan_MF_Trade Date Principal,
Treasury_SH_ACU,Bond Amortised Cost,Bond OCI/AC_TD_Trade Date Buy,Treasury_SH_ACU|Bond Amortised Cost|Bond OCI/AC_TD_Trade Date Buy,
