CHOICELIST,,,/CHOICELIST
Branch,010788-KCP RANTAUPRAPAT PASAR GELUGUR,KCPRANT,
Branch,010789-KCP RANTAUPRAPAT PASAR SIGAMBAL,KCPRANTPSR,
Branch,010790-KCP PASAR KOTA PINANG,KCPPASAKTP,
Branch,010791-KCP PASAR KISARAN,KCPPASA,
Branch,010792-KCP GUNUNG TUA,KCPGUNUTUA,
Branch,010793-KCP GUNUNG SITOLI,KCPGUNUSIT,
Branch,010794-KCP SIMALUNGUN SINAKSAK,KCPSIMALUN,
Branch,010795-KCP SAMOSIR PANGURURAN,KCPSAMOSIR,
Branch,010796-KCP TEBING TINGGI PASAR GAMBIR,KCPTEBTING,
Branch,010797-KCP PADANGSIDEMPUAN MERDEKA,KCPDANGSID,
Branch,010798-KCP LABUHAN BATU MERBAU,KCPLABUHAN,
Branch,010799-KCP AEK KANOPAN DAMULI,KCPKANOPAN,
Branch,010800-KC PEKANBARU SUDIRMAN BAWAH,PKBSUDMBWH,
Branch,010801-KCP PEKANBARU SUDIRMAN ATAS,PKBSUDIRMN,
Branch,010802-KCP PEKANBARU AHMAD YANI,PKBAYANI,
Branch,010803-KCP PEKANBARU NANGKA,PKBNANGKA,
Branch,010804-KCP UJUNG BATU,UBTIDR,
Branch,010805-KC DUMAI SUDIRMAN,DUMSUDRMAN,
Branch,010806-KCP DUMAI SYARIF KASIM,DUMSYARIFK,
Branch,010807-KC DURI,DRIIDR,
Branch,010808-KCP BAGAN BATU,BGUIDR,
Branch,010809-KC RENGAT,RGTIDR,
Branch,010810-KCP AIR MOLEK,AMKIDR,
Branch,010811-KCP PANGKALAN KERINCI,PKRIDR,
Branch,010812-KCP BENGKALIS,BKIIDR,
Branch,010813-KCP SIAK PERAWANG,SAKPERAWAN,
Branch,010814-KK DURI SUDIRMAN,DRISUDIRMA,
Branch,010815-KCP PEKANBARU JALAN RIAU,PKBJLNRIAU,
Branch,010816-KK PEKANBARU TUANKU TAMBUSAI,PKBTUANKUT,
Branch,010817-KC PEKANBARU PANAM,KCPEKANBAR,
Branch,010818-KCP BANGKINANG,KCPBNGKNG,
Branch,010819-KK PEKANBARU HARAPAN RAYA,KKPKNBRHR,
Branch,010820-KK PEKANBARU RUMBAI,PKBRUMBAI,
Branch,010821-KK PEKANBARU MINAS,PKBMINAS,
Branch,010822-KK DURI CALTEX,DRICALTEX,
Branch,010823-KK PERTAMINA SUNGAI PAKNING,DUMPERTAMI,
Branch,010824-KCP TELUK KUANTAN,KCPTLKKNTN,
Branch,010825-KK PANGKALAN KERINCI RAPP,KKPGKLKRNC,
Branch,010826-KK TEMBILAHAN,KKEMBILAHA,
Branch,010827-KK PASIR PANGARAIAN,KKPASIRPA,
Branch,010828-KK KANDIS,KKKANDI,
Branch,010829-KCP SIAK SRI INDRAPURA,KCPSIAKSRI,
